id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
81000310,RUTHERFORD,ABOVE AND BEYOND FAMILY,HOMES,4-STAR,  4,3,0,0,0,0,0,0,0,0,8,0,Independent Family,Y,1,december,2017
81000008,RUTHERFORD,LIBERTY BAPTIST CHURCH,CENTERS,GS110,  1,1,8,7,12,11,14,6,24,82,107,107,Independent    Religious,Y,8,december,2017
81000008,RUTHERFORD,LIBERTY BAPTIST CHURCH,CENTERS,GS110,  1,2,0,0,0,0,0,0,0,0,0,0,Independent    Religious,Y,8,december,2017
81000008,RUTHERFORD,LIBERTY BAPTIST CHURCH,CENTERS,GS110,  1,3,0,0,0,0,0,0,0,0,0,0,Independent    Religious,Y,8,december,2017
81000052,RUTHERFORD,CARVER HEAD START,CENTERS,5-STAR,  5,1,3,25,26,25,40,11,0,130,182,182,Local Public   School,Y,3,december,2017
81000052,RUTHERFORD,CARVER HEAD START,CENTERS,5-STAR,  5,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,3,december,2017
81000052,RUTHERFORD,CARVER HEAD START,CENTERS,5-STAR,  5,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,3,december,2017
81000152,RUTHERFORD,KIDS R US,CENTERS,4-STAR,  9,1,3,6,2,4,4,3,12,34,29,0,Independent    Converted House,Y,4,december,2017
81000152,RUTHERFORD,KIDS R US,CENTERS,4-STAR,  9,2,0,0,0,0,0,0,0,0,29,0,Independent    Converted House,Y,4,december,2017
81000152,RUTHERFORD,KIDS R US,CENTERS,4-STAR,  9,3,0,0,0,0,0,0,0,0,0,0,Independent    Converted House,Y,4,december,2017
81000202,RUTHERFORD,PINNACLE ELEMENTARY MORE,CENTERS,5-STAR,  3,1,0,0,0,0,4,14,0,18,18,0,Local Public   School,N,3,december,2017
81000202,RUTHERFORD,PINNACLE ELEMENTARY MORE,CENTERS,5-STAR,  3,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,3,december,2017
81000202,RUTHERFORD,PINNACLE ELEMENTARY MORE,CENTERS,5-STAR,  3,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,3,december,2017
81000215,RUTHERFORD,WESTWOOD PLAY AND LEARN,CENTERS,3-STAR,  5,1,1,0,3,7,2,3,8,24,29,29,Independent    Constructed for,Y,4,december,2017
81000215,RUTHERFORD,WESTWOOD PLAY AND LEARN,CENTERS,3-STAR,  5,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,4,december,2017
81000215,RUTHERFORD,WESTWOOD PLAY AND LEARN,CENTERS,3-STAR,  5,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,4,december,2017
81000224,RUTHERFORD,KIDS,CENTERS,4-STAR,  12,1,2,3,2,14,11,5,23,60,60,60,Independent    Constructed for,Y,0,december,2017
81000224,RUTHERFORD,KIDS,CENTERS,4-STAR,  12,2,0,1,1,1,1,1,0,5,29,29,Independent    Constructed for,Y,0,december,2017
81000224,RUTHERFORD,KIDS,CENTERS,4-STAR,  12,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,0,december,2017
81000229,RUTHERFORD,ELLENBORO ELEMENTARY,CENTERS,5-STAR,  11,1,0,0,0,6,31,17,11,65,84,84,Local Public   School,N,2,december,2017
81000229,RUTHERFORD,ELLENBORO ELEMENTARY,CENTERS,5-STAR,  11,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,2,december,2017
81000229,RUTHERFORD,ELLENBORO ELEMENTARY,CENTERS,5-STAR,  11,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,2,december,2017
81000231,RUTHERFORD,SUNSHINE ELEMENTARY,CENTERS,5-STAR,  11,1,0,0,0,0,9,9,0,18,18,0,Local Public   School,N,3,december,2017
81000231,RUTHERFORD,SUNSHINE ELEMENTARY,CENTERS,5-STAR,  11,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,3,december,2017
81000231,RUTHERFORD,SUNSHINE ELEMENTARY,CENTERS,5-STAR,  11,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,3,december,2017
81000233,RUTHERFORD,THE LEARNING TREE,CENTERS,4-STAR,  6,1,0,4,10,7,10,5,18,54,130,130,Community      Constructed for,Y,2,december,2017
81000233,RUTHERFORD,THE LEARNING TREE,CENTERS,4-STAR,  6,2,0,0,0,0,0,0,0,0,0,0,Community      Constructed for,Y,2,december,2017
81000233,RUTHERFORD,THE LEARNING TREE,CENTERS,4-STAR,  6,3,0,0,0,0,0,0,0,0,0,0,Community      Constructed for,Y,2,december,2017
81000244,RUTHERFORD,SPINDALE ELEMENTARY,CENTERS,5-STAR,  5,1,0,0,0,8,20,8,0,36,36,18,Local Public   School,N,5,december,2017
81000244,RUTHERFORD,SPINDALE ELEMENTARY,CENTERS,5-STAR,  5,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,5,december,2017
81000244,RUTHERFORD,SPINDALE ELEMENTARY,CENTERS,5-STAR,  5,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,5,december,2017
81000254,RUTHERFORD,KID,CENTERS,5-STAR,  3,1,4,5,7,8,4,1,13,42,44,0,Independent    Converted,Y,0,december,2017
81000254,RUTHERFORD,KID,CENTERS,5-STAR,  3,2,0,0,0,0,0,0,0,0,29,0,Independent    Converted,Y,0,december,2017
81000254,RUTHERFORD,KID,CENTERS,5-STAR,  3,3,0,0,0,0,0,0,0,0,0,0,Independent    Converted,Y,0,december,2017
81000258,RUTHERFORD,HARRIS ELEMENTARY,CENTERS,5-STAR,  5,1,0,0,0,2,10,24,0,36,36,36,Local Public   School,N,5,december,2017
81000258,RUTHERFORD,HARRIS ELEMENTARY,CENTERS,5-STAR,  5,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,5,december,2017
81000258,RUTHERFORD,HARRIS ELEMENTARY,CENTERS,5-STAR,  5,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,N,5,december,2017
81000273,RUTHERFORD,CHILDREN,CENTERS,4-STAR,  12,1,5,7,7,5,2,4,3,33,45,45,Independent  Constructed for,Y,7,december,2017
81000273,RUTHERFORD,CHILDREN,CENTERS,4-STAR,  12,2,0,0,0,0,0,0,0,0,45,45,Independent  Constructed for,Y,7,december,2017
81000273,RUTHERFORD,CHILDREN,CENTERS,4-STAR,  12,3,0,0,0,0,0,0,0,0,45,45,Independent  Constructed for,Y,7,december,2017
81000278,RUTHERFORD,FOREST CITY,CENTERS,5-STAR,  8,1,0,0,0,5,18,13,0,36,36,36,Local Public School,N,5,december,2017
81000278,RUTHERFORD,FOREST CITY,CENTERS,5-STAR,  8,2,0,0,0,0,0,0,0,0,0,0,Local Public School,N,5,december,2017
81000278,RUTHERFORD,FOREST CITY,CENTERS,5-STAR,  8,3,0,0,0,0,0,0,0,0,0,0,Local Public School,N,5,december,2017
81000279,RUTHERFORD,FORREST HUNT PRESCHOOL,CENTERS,5-STAR,  8,1,0,0,0,3,6,9,0,18,36,18,Local Public School,N,3,december,2017
81000279,RUTHERFORD,FORREST HUNT PRESCHOOL,CENTERS,5-STAR,  8,2,0,0,0,0,0,0,0,0,0,0,Local Public School,N,3,december,2017
81000279,RUTHERFORD,FORREST HUNT PRESCHOOL,CENTERS,5-STAR,  8,3,0,0,0,0,0,0,0,0,0,0,Local Public School,N,3,december,2017
81000280,RUTHERFORD,RUTHERFORDTON ELEMENTARY,CENTERS,5-STAR,  8,1,0,0,0,2,10,6,0,18,36,18,Local Public School,N,3,december,2017
81000280,RUTHERFORD,RUTHERFORDTON ELEMENTARY,CENTERS,5-STAR,  8,2,0,0,0,0,0,0,0,0,0,0,Local Public School,N,3,december,2017
81000280,RUTHERFORD,RUTHERFORDTON ELEMENTARY,CENTERS,5-STAR,  8,3,0,0,0,0,0,0,0,0,0,0,Local Public School,N,3,december,2017
81000289,RUTHERFORD,CHOICE CARE PLAYSCHOOL,CENTERS,5-STAR,  7,1,3,3,12,8,7,9,6,48,60,45,Independent  Converted,Y,2,december,2017
81000289,RUTHERFORD,CHOICE CARE PLAYSCHOOL,CENTERS,5-STAR,  7,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,2,december,2017
81000289,RUTHERFORD,CHOICE CARE PLAYSCHOOL,CENTERS,5-STAR,  7,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,2,december,2017
81000292,RUTHERFORD,KIDS AT PLAY CHILDCARE,CENTERS,4-STAR,  5,1,3,3,7,8,6,1,7,35,29,29,Independent  Converted,Y,6,december,2017
81000292,RUTHERFORD,KIDS AT PLAY CHILDCARE,CENTERS,4-STAR,  5,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,6,december,2017
81000292,RUTHERFORD,KIDS AT PLAY CHILDCARE,CENTERS,4-STAR,  5,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,6,december,2017
81000299,RUTHERFORD,U AND I ENRICHMENT II,CENTERS,4-STAR,  11,1,1,2,3,1,6,1,5,19,29,29,Independent  Converted House,Y,1,december,2017
81000299,RUTHERFORD,U AND I ENRICHMENT II,CENTERS,4-STAR,  11,2,0,0,0,0,0,0,0,0,29,29,Independent  Converted House,Y,1,december,2017
81000299,RUTHERFORD,U AND I ENRICHMENT II,CENTERS,4-STAR,  11,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,1,december,2017
81000306,RUTHERFORD,MARY,CENTERS,5-STAR,  10,1,0,0,0,0,0,0,8,8,11,11,Independent  Constructed for,Y,2,december,2017
81000306,RUTHERFORD,MARY,CENTERS,5-STAR,  10,2,0,0,0,0,0,0,0,0,11,0,Independent  Constructed for,Y,2,december,2017
81000306,RUTHERFORD,MARY,CENTERS,5-STAR,  10,3,0,0,0,0,0,0,0,0,0,0,Independent  Constructed for,Y,2,december,2017
81000308,RUTHERFORD,CHOICE CARE ACADEMY,CENTERS,4-STAR,  8,1,4,6,7,15,6,7,8,53,50,50,Independent  Converted,Y,2,december,2017
81000308,RUTHERFORD,CHOICE CARE ACADEMY,CENTERS,4-STAR,  8,2,0,0,0,0,0,0,0,0,50,0,Independent  Converted,Y,2,december,2017
