id,name,street,city,zip,address,lon,lat
34000690,Pequenas Aventuras,815 Utah Drive,Winston-Salem,27107,"815 Utah Drive, Winston-Salem, NC 27107",-80.17963809999999,36.0647859
34000694,Little Ones Heaven,4408 Tise Avenue,Winston-Salem,27105,"4408 Tise Avenue, Winston-Salem, NC 27105",-80.2325017,36.1516714
34000705,Unique Child Care,3811 Whitfield Road,Winston-Salem,27105,"3811 Whitfield Road, Winston-Salem, NC 27105",-80.2175458,36.1416128
34000723,Geez Home Day Care,950 East Clemmonsville Road,Winston-Salem,27107,"950 East Clemmonsville Road, Winston-Salem, NC 27107",-80.2522405,36.04451100000001
34000734,S & S Day Care,4795 N Cherry Street,Winston-Salem,27105,"4795 N Cherry Street, Winston-Salem, NC 27105",-80.26356369999999,36.1557892
34000780,Laurie's Child Care Home,5618 Kerwin Circle,Kernersville,27284,"5618 Kerwin Circle, Kernersville, NC 27284",-80.1174063,36.1351593
34000792,Pat's Little Angels Home Care,1203 Reynolds Forest Dr,Winston-Salem,27107,"1203 Reynolds Forest Dr, Winston-Salem, NC 27107",-80.1933976,36.084129
34000804,Plater's Playhouse,1433 Bethlehem Lane,Winston-Salem,27105,"1433 Bethlehem Lane, Winston-Salem, NC 27105",-80.22741330000001,36.1173123
34000833,Best Of Care Family Child Care Home,116 Sedge Meadow Drive,Winston-Salem,27107,"116 Sedge Meadow Drive, Winston-Salem, NC 27107",-80.1537391,36.0853634
34000863,R­u Happy Child Care,608 Liberia Street,Winston-Salem,27127,"608 Liberia Street, Winston-Salem, NC 27127",-80.23469370000001,36.0832239
34000871,Big Mama's Educational Center,121 Cheltenham Drive,Winston-Salem,27103,"121 Cheltenham Drive, Winston-Salem, NC 27103",-80.3414746,36.0559007
34000915,Munchkin Land,4931 Leinbach Drive,Winston-Salem,27106,"4931 Leinbach Drive, Winston-Salem, NC 27106",-80.3414914,36.166646
34000931,Tammy's Wonderland,3679 Cheshire Woods Drive,Winston-Salem,27106,"3679 Cheshire Woods Drive, Winston-Salem, NC 27106",-80.32441879999999,36.1649012
34000937,Jardin De Ninos,5404 Winona Street,Winston-Salem,27106,"5404 Winona Street, Winston-Salem, NC 27106",-80.3161082,36.162819
34000977,Bright Star Preschool And Child Care Services,1500 Pittsburg Court,Winston-Salem,27105,"1500 Pittsburg Court, Winston-Salem, NC 27105",-80.25210349999999,36.114632
34001013,Agnew's Learning Center,4596 Greenmanor Dr,Winston-Salem,27106,"4596 Greenmanor Dr, Winston-Salem, NC 27106",-80.30419909999999,36.1678748
34001019,Little Leaders Learning Center,5345 Angel Oaks Drive,Winston-Salem,27105,"5345 Angel Oaks Drive, Winston-Salem, NC 27105",-80.2682012,36.1897546
34001024,Cuddling Cuties,429 East Devonshire Street,Winston-Salem,27127,"429 East Devonshire Street, Winston-Salem, NC 27127",-80.2305982,36.0684173
34001026,Nett's Discovery Place,6941 Poplar Ridge Road,Lewisville,27023,"6941 Poplar Ridge Road, Lewisville, NC 27023",-80.4002435,36.1138409
34001027,Loving Care Child Development Home,1370 Reynolds Forest Drive,Winston-Salem,27107,"1370 Reynolds Forest Drive, Winston-Salem, NC 27107",-80.1921136,36.0773091
34001039,Little Gifts Learning Academy,1064 Treble Court,Winston-Salem,27127,"1064 Treble Court, Winston-Salem, NC 27127",-80.25341139999999,36.0392369
34001129,San's Sand Box Home Day Care,1317 Wentworth Road,Winston-Salem,27105,"1317 Wentworth Road, Winston-Salem, NC 27105",-80.2237878,36.158605
34001147,Motherly Love Day Care And Learning Center,308 Barber Street,Winston-Salem,27127,"308 Barber Street, Winston-Salem, NC 27127",-80.234375,36.0585109
34001169,Building Blocks Learning Center,5121 Butterfield Drive,Winston-Salem,27105,"5121 Butterfield Drive, Winston-Salem, NC 27105",-80.2015203,36.1428476
34001177,Doodlebugs Academy,4103 Johnny Knoll,Winston-Salem,27107,"4103 Johnny Knoll, Winston-Salem, NC 27107",-80.14466829999999,36.0810388
34001182,Connie's Day Care,170 Stonburg Rd,Clemmons,27012,"170 Stonburg Rd, Clemmons, NC 27012",-80.3744555,36.0052341
34001188,Loving Hearts Child Care Home,4303 Reidsville Road,Winston-Salem,27101,"4303 Reidsville Road, Winston-Salem, NC 27101",-80.17670629999999,36.1262253
34001191,Bundles Of Love,4005 Snyder Drive,Winston-Salem,27127,"4005 Snyder Drive, Winston-Salem, NC 27127",-80.28206680000001,36.0385866
34001202,Bertie's Family Child Care Home,1217 Shouse Blvd,Winston-Salem,27105,"1217 Shouse Blvd, Winston-Salem, NC 27105",-80.2288746,36.1617013
34001207,"House Of La'joi, The",2325 Montrose Avenue,Winston-Salem,27105,"2325 Montrose Avenue, Winston-Salem, NC 27105",-80.24376649999999,36.1187879
34001210,Train Up A Child Learning Center,3785 Crusade Drive,Winston-Salem,27101,"3785 Crusade Drive, Winston-Salem, NC 27101",-80.18723100000001,36.124071
34001220,Children's Creative Minds & Hands Learning Cntr,5049 Wrangler Drive,Winston-Salem,27101,"5049 Wrangler Drive, Winston-Salem, NC 27101",-80.14268059999999,36.136646
34001230,Quiver Full Child Care Home,1117 Waughtown St,Winston-Salem,27107,"1117 Waughtown St, Winston-Salem, NC 27107",-80.2173837,36.0693465
34001240,Unique Opportunity Child Care Home,4157 Mill Creek Road,Winston-Salem,27106,"4157 Mill Creek Road, Winston-Salem, NC 27106",-80.3181553,36.1481135
34001242,Precious Luv One's Child Care Home,117 Scotland Ridge Dr,Winston-Salem,27107,"117 Scotland Ridge Dr, Winston-Salem, NC 27107",-80.16305969999999,36.0853865
34001250,James A Coleman Learning Day Care,1654 Bridgton Road,Winston-Salem,27127,"1654 Bridgton Road, Winston-Salem, NC 27127",-80.2646374,36.0202953
34001253,Cherry Tree House,3502 N  Cherry Street,Winston-Salem,27105,"3502 N  Cherry Street, Winston-Salem, NC 27105",-80.2642334,36.1355788
34001267,Rising Stars Child Care,112 Midian Court,Winston-Salem,27105,"112 Midian Court, Winston-Salem, NC 27105",-80.2459556,36.1136214
34001268,Developing Minds And More Ii,933 Aquaview Dr,Kernersville,27284,"933 Aquaview Dr, Kernersville, NC 27284",-80.0768246,36.142921
34001272,Palace Learning Corner,3805 Velinda Drive,Winston-Salem,27106,"3805 Velinda Drive, Winston-Salem, NC 27106",-80.33516030000001,36.1581217
34001275,Kid's Knowledge Club,1901 Denise Lane,Winston-Salem,27127,"1901 Denise Lane, Winston-Salem, NC 27127",-80.29452409999999,36.0064338
34001276,Doletta Learning Center,472 West  25th Street,Winston-Salem,27105,"472 West  25th Street, Winston-Salem, NC 27105",-80.2557199,36.12149900000001
34001278,Leaders Of Tomorrow Learning Academy,2040 Pembrooke Forest Drive,Winston-Salem,27106,"2040 Pembrooke Forest Drive, Winston-Salem, NC 27106",-80.3072056,36.1823305
34001279,Bright Futures Learning Academy,2404 Dunbar Street,Winston-Salem,27105,"2404 Dunbar Street, Winston-Salem, NC 27105",-80.2138092,36.1153315
34001287,Ca­doodles,6320 Wynyard Ave,Rural Hall,27045,"6320 Wynyard Ave, Rural Hall, NC 27045",-80.26682579999999,36.20494060000001
34001297,Smiling Faces Child Care,4990 Murray Road,Winston-Salem,27106,"4990 Murray Road, Winston-Salem, NC 27106",-80.303922,36.1795267
34001298,Sandra's Family Child Care,2947 Old Salisbury Rd,Winston-Salem,27127,"2947 Old Salisbury Rd, Winston-Salem, NC 27127",-80.27283539999999,36.0161118
34001307,Lil Miracles,2023 East 24th Street,Winston-Salem,27105,"2023 East 24th Street, Winston-Salem, NC 27105",-80.2186897,36.1210718
34001312,Bailey Preschool,1300 Polo Road,Winston-Salem,27106,"1300 Polo Road, Winston-Salem, NC 27106",-80.2850711,36.13819
34001316,Gullick's Learning Room,2332 Waverly Dell Dr,Winston-Salem,27127,"2332 Waverly Dell Dr, Winston-Salem, NC 27127",-80.2670871,36.0338715
3405318,Brenda Allen Day Care Home,205 Old Hollow Road,Rural Hall,27045,"205 Old Hollow Road, Rural Hall, NC 27045",-80.2765899,36.2006207
3405334,Kiddie Care Day Care Home,4949 Lacasta Ln,Walkertown,27051,"4949 Lacasta Ln, Walkertown, NC 27051",-80.1788534,36.1743614
3405377,Diane's Day Care Home,475 Country Lane,Lewisville,27023,"475 Country Lane, Lewisville, NC 27023",-80.4500793,36.0946844
34000002,"La Petite Academy, Inc.",2011 Bethabara Road,Winston-Salem,27106,"2011 Bethabara Road, Winston-Salem, NC 27106",-80.28819870000001,36.1502122
34000023,"Hy­tec Of Winston­salem, Inc.",702 N  Cherry Street,Winston-Salem,27101,"702 N  Cherry Street, Winston-Salem, NC 27101",-80.2484676,36.1030977
34000062,"Family Services, Inc. Child Development Division",2050 Big House Gaines Blvd,Winston-Salem,27101,"2050 Big House Gaines Blvd, Winston-Salem, NC 27101",-80.21850900000001,36.101494
34000098,Ctrs For Exceptional Children: Spec Children's,4505 Shattalon Drive,Winston-Salem,27106,"4505 Shattalon Drive, Winston-Salem, NC 27106",-80.3337135,36.1541195
34000134,Carver Road Educational & Development Center,3111 Carver School Road,Winston-Salem,27105,"3111 Carver School Road, Winston-Salem, NC 27105",-80.2057907,36.1243424
34000141,"The Sunshine House, Inc.",3806 Country Club Road,Winston-Salem,27104,"3806 Country Club Road, Winston-Salem, NC 27104",-80.31356129999999,36.0896822
34000142,Sunshine House,600 East Polo Road,Winston-Salem,27106,"600 East Polo Road, Winston-Salem, NC 27106",-80.266412,36.1407237
34000144,New Horizons Child Care,6395 Cephis Dr,Clemmons,27012,"6395 Cephis Dr, Clemmons, NC 27012",-80.38463430000002,36.0296582
34000157,Epiphany Early Childhood Center,5220 Silas Creek Pkwy,Winston-Salem,27106,"5220 Silas Creek Pkwy, Winston-Salem, NC 27106",-80.3069908,36.1083761
34000167,Mineral Springs Head Start,4527 Ogburn Ave,Winston-Salem,27105,"4527 Ogburn Ave, Winston-Salem, NC 27105",-80.235583,36.156198
34000208,Pinedale Christian Day Care,3395 Peters Creek Parkway,Winston-Salem,27127,"3395 Peters Creek Parkway, Winston-Salem, NC 27127",-80.2597486,36.0289158
34000227,Family Services Head Start Kernersville,512 West Mountain St,Kernersville,27284,"512 West Mountain St, Kernersville, NC 27284",-80.07969369999999,36.1265113
34000239,Waughtown Kids R Us Child Care Center,1330 Waughtown Street,Winston-Salem,27107,"1330 Waughtown Street, Winston-Salem, NC 27107",-80.209081,36.0679701
34000242,Happy Days Child Care,1480 Harvest Drive,Winston-Salem,27101,"1480 Harvest Drive, Winston-Salem, NC 27101",-80.19015290000002,36.1142656
34000268,Country Club Learning & Development Center Llc.,3842 Country Club Road,Winston-Salem,27104,"3842 Country Club Road, Winston-Salem, NC 27104",-80.3157598,36.0897539
34000275,"Generations Preschool And Child Care, Inc.",4465 Bridalcreek West,Winston-Salem,27106,"4465 Bridalcreek West, Winston-Salem, NC 27106",-80.3389351,36.15225940000001
34000300,Christ Rescue Temple #3,1625 N Dunleith Ave,Winston-Salem,27105,"1625 N Dunleith Ave, Winston-Salem, NC 27105",-80.2269846,36.1137877
34000361,"Better World Learning Center, A",317 E 33rd St,Winston-Salem,27105,"317 E 33rd St, Winston-Salem, NC 27105",-80.2406919,36.1326714
34000362,"Tlc The Learning Academy, Inc.",2832 South Main St,Winston-Salem,27127,"2832 South Main St, Winston-Salem, NC 27127",-80.23897,36.0598907
34000371,"Victoria's Academy, Inc.",4647 Old Rural Hall Rd,Winston-Salem,27105,"4647 Old Rural Hall Rd, Winston-Salem, NC 27105",-80.2255306,36.1545877
34000414,Educating Angels Child Care Center,5909 Germanton Rd,Winston-Salem,27105,"5909 Germanton Rd, Winston-Salem, NC 27105",-80.251876,36.204337
34000420,Children's Academy On Trade,1352 North Trade Street,Winston-Salem,27105,"1352 North Trade Street, Winston-Salem, NC 27105",-80.2466381,36.1122835
34000455,Childtime Children's Center,1021 West Clemmonsville Road,Winston-Salem,27127,"1021 West Clemmonsville Road, Winston-Salem, NC 27127",-80.2552625,36.0428184
34000461,Step By Step Day Care,4612 Old Rural Hall Rd,Winston-Salem,27105,"4612 Old Rural Hall Rd, Winston-Salem, NC 27105",-80.2261406,36.1537132
34000469,Ephesus Learning Center,1225 North Cleveland Avenue,Winston-Salem,27101,"1225 North Cleveland Avenue, Winston-Salem, NC 27101",-80.229434,36.110717
34000692,Maxx Kinder Kollege,2411 Waughtown Street,Winston-Salem,27107,"2411 Waughtown Street, Winston-Salem, NC 27107",-80.1928135,36.0744627
34000697,St. Peter's Family Life Enrichment Center,3683b Old Lexington Road,Winston-Salem,27107,"3683b Old Lexington Road, Winston-Salem, NC 27107",-80.2215488,36.0493533
34000701,Quality Education Institute,5012 C Lansing Drive,Winston-Salem,27105,"5012 C Lansing Drive, Winston-Salem, NC 27105",-80.2056226,36.1503419
34000715,Triad Baptist Christian Preschool,1175 South Main Street,Kernersville,27284,"1175 South Main Street, Kernersville, NC 27284",-80.1008923,36.1056886
34000740,"Acwlc, Ii Inc",2005 Lewisville Clemmons Road,Clemmons,27012,"2005 Lewisville Clemmons Road, Clemmons, NC 27012",-80.388087,36.052562
34000781,"Potter's House For Children Llc, The",1035 Hutton Street,Winston-Salem,27103,"1035 Hutton Street, Winston-Salem, NC 27103",-80.2546519,36.076819
34000829,Bright Horizons At Wake Forest Baptist Health,200 Lockland Ave,Winston-Salem,27103,"200 Lockland Ave, Winston-Salem, NC 27103",-80.2643239,36.0900636
34000844,"Church Child Care Center, Inc.",4400 Poindexter Street,Walkertown,27051,"4400 Poindexter Street, Walkertown, NC 27051",-80.1537173,36.1650806
34000868,"Acwlc Iii, Inc",1290 Hartman Plaza Drive,Winston-Salem,27127,"1290 Hartman Plaza Drive, Winston-Salem, NC 27127",-80.2518102,36.0605193
34000873,Ctrs For Exceptional Children: The Children's Ctr,2315 Coliseum Drive,Winston-Salem,27106,"2315 Coliseum Drive, Winston-Salem, NC 27106",-80.2789968,36.1173005
34000874,Middle Fork Elementary Pre­k Program,3125 Williston Road,Walkertown,27051,"3125 Williston Road, Walkertown, NC 27051",-80.1683575,36.1412787
34000875,Marvin M. Ward Elementary Pre K Program,3775 Fraternity Church Road,Winston-Salem,27127,"3775 Fraternity Church Road, Winston-Salem, NC 27127",-80.33655519999999,36.0277227
34000877,Bolton Elementary Pre­k Program,1250 Bolton Street,Winston-Salem,27103,"1250 Bolton Street, Winston-Salem, NC 27103",-80.29187189999999,36.0741102
34000878,Cash Elementary Pre­k Program,4700 Old Hollow Road,Kernersville,27284,"4700 Old Hollow Road, Kernersville, NC 27284",-80.123116,36.136284
34000880,Forest Park Elementary School Pre­k Program,2019 Milford Street,Winston-Salem,27107,"2019 Milford Street, Winston-Salem, NC 27107",-80.2156541,36.0717656
34000894,Lollipop Stop Child Development Center,160 Noel Drive,Winston-Salem,27105,"160 Noel Drive, Winston-Salem, NC 27105",-80.2773859,36.1948193
34000900,"Cherish Unique Kids, Inc.",4364 Morningside Drive,Winston-Salem,27106,"4364 Morningside Drive, Winston-Salem, NC 27106",-80.328464,36.1665928
34000918,The Bunny Stop Pre­school Inc.,4009 Old Vineyard Rd,Winston-Salem,27104,"4009 Old Vineyard Rd, Winston-Salem, NC 27104",-80.32577169999999,36.0784157
34000920,First Step Preschool,1305 Pleasant Fork Church Road,Winston-Salem,27127,"1305 Pleasant Fork Church Road, Winston-Salem, NC 27127",-80.26571009999999,36.0328016
34000936,Kimberley Park Elementary School Pre­k Program,1701 Cherry Street,Winston-Salem,27105,"1701 Cherry Street, Winston-Salem, NC 27105",-80.2538252,36.1161093
34000945,"Montessori Children's Center, Inc.",6050 Holder Rd,Clemmons,27012,"6050 Holder Rd, Clemmons, NC 27012",-80.37644519999999,36.0652333
34000974,Caesar's Lil Palace,5720 Shattalon Drive,Winston-Salem,27105,"5720 Shattalon Drive, Winston-Salem, NC 27105",-80.28180549999999,36.1692781
34000986,Speas Elementary Pre­k Program,2000 West Polo Rd,Winston-Salem,27106,"2000 West Polo Rd, Winston-Salem, NC 27106",-80.2965964,36.130318
34000988,Easton Elementary Pre­k Program,734 E Clemmonsville Cir,Winston-Salem,27107,"734 E Clemmonsville Cir, Winston-Salem, NC 27107",-80.2229813,36.055949
34000992,Childcare Network #164,5038 Styers Ferry Road,Lewisville,27023,"5038 Styers Ferry Road, Lewisville, NC 27023",-80.38652479999999,36.0794026
34000993,Childcare Network #161,820 Salisbury Street,Kernersville,27284,"820 Salisbury Street, Kernersville, NC 27284",-80.0783533,36.1094905
34001006,Sandbox Academy Child Care Center,5016 Old Walkertown Road,Winston-Salem,27105,"5016 Old Walkertown Road, Winston-Salem, NC 27105",-80.20330659999999,36.1581827
34001053,West Forsyth Christian Preschool,1200 Lewisville-Clemmons Road,Lewisville,27023,"1200 Lewisville-Clemmons Road, Lewisville, NC 27023",-80.3919166,36.0797454
34001091,Oak Summit Learning Academy,230 Oak Summit Road,Winston-Salem,27105,"230 Oak Summit Road, Winston-Salem, NC 27105",-80.2671742,36.173588
34001107,Our Lady Of Mercy Preschool,1730 Link Road,Winston-Salem,27103,"1730 Link Road, Winston-Salem, NC 27103",-80.2610988,36.0705633
34001116,Woodland Baptist Christian School & Day Care,1175 Bethania Rural Hall Road,Winston-Salem,27106,"1175 Bethania Rural Hall Road, Winston-Salem, NC 27106",-80.30535139999999,36.2044749
34001127,North Point Academy,4950 Indiana Avenue,Winston-Salem,27105,"4950 Indiana Avenue, Winston-Salem, NC 27105",-80.274894,36.1546949
34001155,Family Services Child Development Center At Wssu,601 S Martin Luther King Jr Dr,Winston-Salem,27101,"601 S Martin Luther King Jr Dr, Winston-Salem, NC 27101",-80.22481570000001,36.0868936
34001156,Discovering Our World Child Development Center,3640 New Walkertown Road,Winston-Salem,27105,"3640 New Walkertown Road, Winston-Salem, NC 27105",-80.1976407,36.1353162
34001176,Kidz Zone Learning Center,515 Polo Road,Winston-Salem,27106,"515 Polo Road, Winston-Salem, NC 27106",-80.2647779,36.141665
34001180,Kimberley Park Extended Day Program,1701 N Cherry Street,Winston-Salem,27105,"1701 N Cherry Street, Winston-Salem, NC 27105",-80.2538257,36.1161095
34001185,Ibraham Elementary Pre­k Program,5036 Old Walkertown Road,Winston-Salem,27105,"5036 Old Walkertown Road, Winston-Salem, NC 27105",-80.2008123,36.1593968
34001193,"Future Leaders Learning Academy, Inc.",945 Cleveland Avenue,Winston-Salem,27101,"945 Cleveland Avenue, Winston-Salem, NC 27101",-80.23039,36.10637699999999
34001201,Sedge Garden Elementary Pre­k Program,475 Sedge Garden Road,Kernersville,27284,"475 Sedge Garden Road, Kernersville, NC 27284",-80.1363161,36.0965173
34001204,"Learning Place Child Development Center, Inc., The",1120 East 29th Street,Winston-Salem,27105,"1120 East 29th Street, Winston-Salem, NC 27105",-80.2303835,36.1261313
34001233,Caleb's Creek Elementary Pre­k,1109 Salem Crossing Road,Kernersville,27284,"1109 Salem Crossing Road, Kernersville, NC 27284",-80.0890229,36.078296
34001234,Mineral Springs Baptist Child Care,5460 Skylark Road,Pfafftown,27040,"5460 Skylark Road, Pfafftown, NC 27040",-80.376328,36.156479
34001237,Gibson Elementary School Pre­kindergarten,2020 Walker Road,Winston-Salem,27106,"2020 Walker Road, Winston-Salem, NC 27106",-80.311353,36.18661300000001
34001238,Diggs­latham Elementary School Pre­,986 Hutton Street,Winston-Salem,27101,"986 Hutton Street, Winston-Salem, NC 27101",-80.256586,36.07895
34001239,Walkertown Elementary School Pre­kindergarten,2971 Main Street,Walkertown,27051,"2971 Main Street, Walkertown, NC 27051",-80.150109,36.170862
34001241,Kimmel Farm Elementary School Pre­kindergarten,4672 Ebert Street,Winston-Salem,27127,"4672 Ebert Street, Winston-Salem, NC 27127",-80.3030907,36.0090156
34001252,Smith Farm Elementary School Pre­kindergarten,4250 Johnny Knoll Lane,Winston-Salem,27107,"4250 Johnny Knoll Lane, Winston-Salem, NC 27107",-80.1408877,36.08006719999999
34001255,First Christian Ministries Kids Castle,1130 North Main Street,Kernersville,27284,"1130 North Main Street, Kernersville, NC 27284",-80.04952469999999,36.1394451
34001266,Children In Motion,530 Arbor Hill Road,Kernersville,27284,"530 Arbor Hill Road, Kernersville, NC 27284",-80.0898607,36.1088715
34001282,Clemmons Learning Center,3011 South Stratford Road,Winston-Salem,27103,"3011 South Stratford Road, Winston-Salem, NC 27103",-80.3484161,36.0235544
34001283,Foundations Early Learning Center,300 North Poplar Street,Winston-Salem,27101,"300 North Poplar Street, Winston-Salem, NC 27101",-80.2499058,36.0970698
34001285,Childcare Network #299,3595 Reynolda Road,Winston-Salem,27106,"3595 Reynolda Road, Winston-Salem, NC 27106",-80.3146516,36.1561724
34001289,The Children's Courtyard,1009 Masten Drive,Kernersville,27284,"1009 Masten Drive, Kernersville, NC 27284",-80.0974451,36.1060328
34001290,"Sunshine House #209, The",1414 Union Cross Road,Kernersville,27284,"1414 Union Cross Road, Kernersville, NC 27284",-80.1027565,36.0847737
34001304,Carol L. Danforth Early Childhood Lab,2100 Silas Creek Parkway,Winston-Salem,27103,"2100 Silas Creek Parkway, Winston-Salem, NC 27103",-80.2727328,36.0694251
34001306,Foundations Early Learning Center #212,251 East 7th Street,Winston-Salem,27101,"251 East 7th Street, Winston-Salem, NC 27101",-80.2416118,36.103137
34001308,Church Childcare Plus,4421 Poindexter  Street,Walkertown,27051,"4421 Poindexter  Street, Walkertown, NC 27051",-80.15432919999999,36.1655126
3451015,First Baptist Church,401 Oakhurst Street,Kernersville,27284,"401 Oakhurst Street, Kernersville, NC 27284",-80.0802422,36.1207523
3451073,Bethlehem Community Child Development,520 Cleveland Ave,Winston-Salem,27101,"520 Cleveland Ave, Winston-Salem, NC 27101",-80.23163720000001,36.1012926
3451266,Beck's Baptist Church Day Care,5505 Beck's Church Road,Winston-Salem,27106,"5505 Beck's Church Road, Winston-Salem, NC 27106",-80.29339499999999,36.1738581
3452208,Main Street Baptist Day Care,126 N  Main Street,Kernersville,27284,"126 N  Main Street, Kernersville, NC 27284",-80.0723916,36.1205845
3455011,St. Andrews Day Care Center,357 Old Hollow Rd,Winston-Salem,27105,"357 Old Hollow Rd, Winston-Salem, NC 27105",-80.26371189999999,36.1968104
3455052,Winston­salem Christian School Early Learning,3730 University Pkwy,Winston-Salem,27106,"3730 University Pkwy, Winston-Salem, NC 27106",-80.2774165,36.1415122
3455102,St. John's Lutheran Child Care,2415 Silas Creek Parkway,Winston-Salem,27103,"2415 Silas Creek Parkway, Winston-Salem, NC 27103",-80.2821756,36.0705158
3455110,Stepping Stones Baptist Day Care,3816 Craver Bldg  Hwy  158,Clemmons,27012,"3816 Craver Bldg  Hwy  158, Clemmons, NC 27012",-80.3819984,36.0215258
3455124,Holy Cross Child Development Center,616 South Cherry Street,Kernersville,27284,"616 South Cherry Street, Kernersville, NC 27284",-80.0840003,36.1145369
3455147,Clemmons Moravian Child Care,3560 Spangenberg Ave,Clemmons,27012,"3560 Spangenberg Ave, Clemmons, NC 27012",-80.37721289999999,36.0206819
3455173,"La Petite Academy, Inc.",110 Jonestown Road,Winston-Salem,27104,"110 Jonestown Road, Winston-Salem, NC 27104",-80.3357443,36.0790491
3455196,"La Petite Academy, Inc.",1975 West Mountain Street,Kernersville,27284,"1975 West Mountain Street, Kernersville, NC 27284",-80.1169046,36.13413
3455198,Friedland Moravian Church Day Care,2750 Friedland Church Rd,Winston-Salem,27107,"2750 Friedland Church Rd, Winston-Salem, NC 27107",-80.16546319999999,36.0641096
3455199,Little Red School House,2842 Old Greensboro Road,Winston-Salem,27101,"2842 Old Greensboro Road, Winston-Salem, NC 27101",-80.2063137,36.1004191
3455202,Today's Child Learning Center,1005 Bethesda Road,Winston-Salem,27103,"1005 Bethesda Road, Winston-Salem, NC 27103",-80.2941429,36.0765411
