id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
53000048,LEE,CENTERS,3-STAR,1,2,2,0,1,2,1,8,16,30,30,Independent    Converted,Y,3,september,2009
53000048,LEE,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,30,30,Independent    Converted,Y,3,september,2009
53000048,LEE,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,30,30,Independent    Converted,Y,3,september,2009
53000059,LEE,CENTERS,GS[0-9]+,1,0,0,0,24,12,0,0,36,80,80,Religious      School,N,8,september,2009
53000059,LEE,CENTERS,GS[0-9]+,2,0,0,0,0,0,0,0,0,0,0,Religious      School,N,8,september,2009
53000059,LEE,CENTERS,GS[0-9]+,3,0,0,0,0,0,0,0,0,0,0,Religious      School,N,8,september,2009
53000097,LEE,CENTERS,4-STAR,1,0,1,0,1,0,0,3,5,26,26,Religious      Religious,Y,1,september,2009
53000097,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Religious      Religious,Y,1,september,2009
53000097,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Religious      Religious,Y,1,september,2009
53000103,LEE,CENTERS,4-STAR,1,1,7,12,10,21,3,0,54,112,112,Independent    Constructed for,Y,5,september,2009
53000103,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,5,september,2009
53000103,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,5,september,2009
53000104,LEE,CENTERS,4-STAR,1,0,0,0,0,0,0,27,27,60,60,Independent    Constructed for,Y,7,september,2009
53000104,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,7,september,2009
53000104,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,7,september,2009
53000107,LEE,CENTERS,4-STAR,1,5,12,9,5,7,4,0,42,54,54,Independent    Constructed for,Y,0,september,2009
53000107,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,0,september,2009
53000107,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,0,september,2009
53000149,LEE,CENTERS,5-STAR,1,0,0,1,14,33,63,0,111,140,140,Local Public School,Y,4,september,2009
53000149,LEE,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,4,september,2009
53000149,LEE,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,4,september,2009
53000150,LEE,CENTERS,4-STAR,1,0,0,0,27,3,0,0,30,30,30,Head Start   School,N,6,september,2009
53000150,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start   School,N,6,september,2009
53000150,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start   School,N,6,september,2009
53000154,LEE,CENTERS,3-STAR,1,3,6,7,4,2,1,5,28,35,35,Independent  Converted,Y,5,september,2009
53000154,LEE,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,5,september,2009
53000154,LEE,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,5,september,2009
53000174,LEE,CENTERS,5-STAR,1,0,3,2,4,1,1,4,15,12,12,Independent  Doublewide,Y,3,september,2009
53000174,LEE,CENTERS,5-STAR,2,0,1,1,0,0,0,1,3,12,12,Independent  Doublewide,Y,3,september,2009
53000174,LEE,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,12,12,Independent  Doublewide,Y,3,september,2009
53000189,LEE,CENTERS,5-STAR,1,0,0,0,0,7,50,0,57,100,100,Independent  Constructed for,Y,0,september,2009
